MANufACTuRERS NAME,BuSINESS NAME,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,minor,VEhICLE YEAR_2,MODEL_2,STATE VEhICLE IS REGISTERED IN_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,STATE_2,Injured,Passenger_2,Autonomous Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,MOVEMENT A 1,MOVEMENT  B 2,TYPE A 2,TYPE C 1,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,Left Rear 1,Rear Bumper,source_filename,Moving,undefined,Other,LIGHTING C 1,MOVEMENT  B 1,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,Right Front Corner 2,Passenger,MOVEMENT  L 2,TYPE A 1,TYPE D 2,Left Front Corner 1,Left Front Corner 3,Front Driver Side 3,Injured_2,Conventional Mode,TYPE D 1,Front Passenger Side 4,Moderate,Driver,LIGHTING C 2,MOVEMENT  E 1,WEATHER C 1,ROADWAY B 1,ROAD CONDITIONS H 1,MOVEMENT  D 1,TYPE E 1,Right Rear 1,MOVEMENT  M 2,TYPE B 1,TYPE B 2,MOVEMENT  R 2,AM,ROAD CONDITIONS H 2,MOVEMENT  D 2,Left Rear 2,Left Front Corner 2,Right Front Corner 1,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,MOVEMENT  I 2,OTHER E,DRIVERS fuLL NAME First Middle last_2,WEATHER C 2,MOVEMENT  H 1,TYPE C 2,MOVEMENT  E 2,Front Driver Side 1,WEATHER B 1,WEATHER B 2,ROADWAY B 2,LIGHTING B 1,LIGHTING B 2,Right Rear 3,MOVEMENT  G 1,MOVEMENT  O 2,Stopped in Traffic_2,MOVEMENT A 2,Right Front Corner 3,Front Bumper,None,Bicyclist_2,Bicyclist_3,OTHER C,undefined_2,Other_2,TYPE H 2,MOVEMENT  K 2,MOVEMENT J 1,OTHER D
Cruise LLC,Cruise,05/17/2021,1:27,/ ,2020,Chevrolet,Bolt,CA,/ ,2,/Yes,2016,Toyota Sienna,CA,/ ,,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,,,/Yes,/Yes,/Yes,/Yes,"Todd J. Brugger, VP Global Markets",05/26/2021,/Yes,,Cruise_051721.pdf,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise LLC,Cruise,05/31/2021,09:37,,2020,Chevrolet,Bolt,CA,,1,,,,,,,,,,,/Yes,,/Yes,,/Yes,,,,,,"Todd J. Brugger, VP Global Markets",06/09/2021,,,Cruise_053121.pdf,/ ,,,,/Yes,/Yes,,,,,,,,,,,,/ ,/ ,,,/Yes,,,,,,,,,,,,,,/ ,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyft Inc.,Lyft Inc.,04/14/2021,09:38,,2019,FORD,FUSION,CA,,2,,,Toyota,CA,/ ,2,,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,/Yes,,,"John Maddox, Senior Director for Autonomous Vehicle Safety & Compliance",04/23/2021,,,Lyft_OL316_041421_Redacted.pdf,/ ,/ ,VEHICLE,,,,,,,,,,,,/Yes,,,,,,,/Yes,,,,,,,/Yes,,,,,/Yes,,/ ,,,,,,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pony.ai, Inc. ",Pony.ai,02/11/2021,9:00,,2020,Hyundai,Kona EV,CA,/ ,1,,2016,Toyota Corolla,CA,/ ,2,CA,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,Chen (FC) Fu,02/19/2021,/Yes,/Yes,Pony.ai_021121.pdf,,,,,,,,,,,,,,,,,,,/ ,,,/Yes,,,,,,/Yes,,,,,,,,/ ,/Yes,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,03/05/2021,08:40,/ ,2017,Chrysler,Pacifica,CA,,2,/Yes,2001,Chrysler 300M,CA,/ ,2,,/ ,,/ ,,,,,/Yes,/Yes,,/Yes,,,"Matt Salwasser, Program Manager",03/12/2021,/Yes,/Yes,Waymo-OL316_030521_Redacted.pdf,/ ,,,/Yes,,,,,,,,,,,,,,,,,,,/ ,/Yes,,/Yes,,/Yes,,,,,,,,,/Yes,,,,,,,,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,01/13/2021,3:15,/ ,2017,Chrysler,Pacifica,CA,,2,/Yes,2013, Volvo S60,CA,/ ,2,CA,,,/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",01/21/2021,,,Waymo_011321.pdf,/ ,,,,,,,,,,,,,/Yes,,,/Yes,,,,,,,,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,/Yes,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,01/22/2021,10:54,,2017,Chrysler,Pacifica,CA,/ ,2,/Yes,1985,Volvo 12S,CA,/ ,2,CA,,,,,,/Yes,/Yes,,,/Yes,/Yes,,,"Matt Salwasser, Program Manager",01/29/2021,/Yes,/Yes,Waymo_012221.pdf,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,/Yes,/Yes,,,,,,,,/ ,/Yes,,,,,,,,,,,,/Yes,,,/Yes,/Yes,/Yes,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,02/16/2021,05:50,/ ,2017,Chrysler,Pacifica,CA,/ ,2,/Yes,,Toyota Sienna,CA,/ ,2,CA,,,/ ,/Yes,/Yes,,,/Yes,/Yes,/Yes,/Yes,,,"Matt Salwasser, Program Manager",02/25/2021,,/Yes,Waymo_021621.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,/Yes,,,,,,/Yes,,,,,,,,,,,,/Yes,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,02/17/2021,12:00,/ ,2017,Chrysler,Pacifica,CA,/ ,2,/Yes,,Nissan Sentra,CA,/ ,2,CA,,,,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,"Matt Salwasser, Program Manager",02/25/2021,,,Waymo_021721.pdf,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,/Yes,,,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,02/25/2021,04:06,/ ,2017,Chrysler,Pacifica,CA,,1,/Yes,,,,,,,,,,/Yes,,/Yes,,/Yes,,,,,,"Matt Salwasser, Program Manager",03/05/2021,,,Waymo_022521_1.pdf,/ ,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,02/25/2021,09:45,/ ,2017,Chrysler,Pacifica,CA,,2,/Yes,,Honda Civic,CA,,2,,,,,/Yes,/Yes,,,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",03/05/2021,,,Waymo_022521_2.pdf,/ ,,,/Yes,/Yes,,,,,/Yes,,,,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,03/19/2021,11:40,,2021,Jaguar,I-Pace,CA,,2,/Yes,2016, Honda Civic,CA,,2,CA,,,,,,/Yes,/Yes,/Yes,/Yes,,,,,"Matt Salwasser, Program Manager",03/29/2021,/Yes,/Yes,Waymo_031921.pdf,/ ,,,,,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,,,/ ,/Yes,,,,,,,,,,,,,,,/Yes,/Yes,,,,,/Yes,,/ ,/Yes,,,,,,,,,,,,
